"ClienteID","nombre","email","fecha_registro"
1,Cliente1,cliente1@correo.com,2020-01-02
2,Cliente2,cliente2@correo.com,2020-01-03
3,Cliente3,cliente3@correo.com,2020-01-04
4,Cliente4,cliente4@correo.com,2020-01-05
5,Cliente5,cliente5@correo.com,2020-01-06
6,Cliente6,cliente6@correo.com,2020-01-07
7,Cliente7,cliente7@correo.com,2020-01-08
8,Cliente8,cliente8@correo.com,2020-01-09
9,Cliente9,cliente9@correo.com,2020-01-10
10,Cliente10,cliente10@correo.com,2020-01-11
11,Cliente11,cliente11@correo.com,2020-01-12
12,Cliente12,cliente12@correo.com,2020-01-13
13,Cliente13,cliente13@correo.com,2020-01-14
14,Cliente14,cliente14@correo.com,2020-01-15
15,Cliente15,cliente15@correo.com,2020-01-16
16,Cliente16,cliente16@correo.com,2020-01-17
17,Cliente17,cliente17@correo.com,2020-01-18
18,Cliente18,cliente18@correo.com,2020-01-19
19,Cliente19,cliente19@correo.com,2020-01-20
20,Cliente20,cliente20@correo.com,2020-01-21
21,Cliente21,cliente21@correo.com,2020-01-22
22,Cliente22,cliente22@correo.com,2020-01-23
23,Cliente23,cliente23@correo.com,2020-01-24
24,Cliente24,cliente24@correo.com,2020-01-25
25,Cliente25,cliente25@correo.com,2020-01-26
26,Cliente26,cliente26@correo.com,2020-01-27
27,Cliente27,cliente27@correo.com,2020-01-28
28,Cliente28,cliente28@correo.com,2020-01-29
29,Cliente29,cliente29@correo.com,2020-01-30
30,Cliente30,cliente30@correo.com,2020-01-31
31,Cliente31,cliente31@correo.com,2020-02-01
32,Cliente32,cliente32@correo.com,2020-02-02
33,Cliente33,cliente33@correo.com,2020-02-03
34,Cliente34,cliente34@correo.com,2020-02-04
35,Cliente35,cliente35@correo.com,2020-02-05
36,Cliente36,cliente36@correo.com,2020-02-06
37,Cliente37,cliente37@correo.com,2020-02-07
38,Cliente38,cliente38@correo.com,2020-02-08
39,Cliente39,cliente39@correo.com,2020-02-09
40,Cliente40,cliente40@correo.com,2020-02-10
41,Cliente41,cliente41@correo.com,2020-02-11
42,Cliente42,cliente42@correo.com,2020-02-12
43,Cliente43,cliente43@correo.com,2020-02-13
44,Cliente44,cliente44@correo.com,2020-02-14
45,Cliente45,cliente45@correo.com,2020-02-15
46,Cliente46,cliente46@correo.com,2020-02-16
47,Cliente47,cliente47@correo.com,2020-02-17
48,Cliente48,cliente48@correo.com,2020-02-18
49,Cliente49,cliente49@correo.com,2020-02-19
50,Cliente50,cliente50@correo.com,2020-02-20
51,Cliente51,cliente51@correo.com,2020-02-21
52,Cliente52,cliente52@correo.com,2020-02-22
53,Cliente53,cliente53@correo.com,2020-02-23
54,Cliente54,cliente54@correo.com,2020-02-24
55,Cliente55,cliente55@correo.com,2020-02-25
56,Cliente56,cliente56@correo.com,2020-02-26
57,Cliente57,cliente57@correo.com,2020-02-27
58,Cliente58,cliente58@correo.com,2020-02-28
59,Cliente59,cliente59@correo.com,2020-02-29
60,Cliente60,cliente60@correo.com,2020-03-01
61,Cliente61,cliente61@correo.com,2020-03-02
62,Cliente62,cliente62@correo.com,2020-03-03
63,Cliente63,cliente63@correo.com,2020-03-04
64,Cliente64,cliente64@correo.com,2020-03-05
65,Cliente65,cliente65@correo.com,2020-03-06
66,Cliente66,cliente66@correo.com,2020-03-07
67,Cliente67,cliente67@correo.com,2020-03-08
68,Cliente68,cliente68@correo.com,2020-03-09
69,Cliente69,cliente69@correo.com,2020-03-10
70,Cliente70,cliente70@correo.com,2020-03-11
71,Cliente71,cliente71@correo.com,2020-03-12
72,Cliente72,cliente72@correo.com,2020-03-13
73,Cliente73,cliente73@correo.com,2020-03-14
74,Cliente74,cliente74@correo.com,2020-03-15
75,Cliente75,cliente75@correo.com,2020-03-16
76,Cliente76,cliente76@correo.com,2020-03-17
77,Cliente77,cliente77@correo.com,2020-03-18
78,Cliente78,cliente78@correo.com,2020-03-19
79,Cliente79,cliente79@correo.com,2020-03-20
80,Cliente80,cliente80@correo.com,2020-03-21
81,Cliente81,cliente81@correo.com,2020-03-22
82,Cliente82,cliente82@correo.com,2020-03-23
83,Cliente83,cliente83@correo.com,2020-03-24
84,Cliente84,cliente84@correo.com,2020-03-25
85,Cliente85,cliente85@correo.com,2020-03-26
86,Cliente86,cliente86@correo.com,2020-03-27
87,Cliente87,cliente87@correo.com,2020-03-28
88,Cliente88,cliente88@correo.com,2020-03-29
89,Cliente89,cliente89@correo.com,2020-03-30
90,Cliente90,cliente90@correo.com,2020-03-31
91,Cliente91,cliente91@correo.com,2020-04-01
92,Cliente92,cliente92@correo.com,2020-04-02
93,Cliente93,cliente93@correo.com,2020-04-03
94,Cliente94,cliente94@correo.com,2020-04-04
95,Cliente95,cliente95@correo.com,2020-04-05
96,Cliente96,cliente96@correo.com,2020-04-06
97,Cliente97,cliente97@correo.com,2020-04-07
98,Cliente98,cliente98@correo.com,2020-04-08
99,Cliente99,cliente99@correo.com,2020-04-09
100,Cliente100,cliente100@correo.com,2020-04-10
